                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52299,                0.36535,                0.85636,                0.90672,                0.88551,                0.93983,                0.70015,                 0.5259,                0.33887,                0.84133,             0.00055427,             0.00055427,             0.00055427
                      2,                0.55227,                0.38515,                0.86808,                0.90831,                0.84613,                0.91618,                0.66709,                0.56867,                 0.3693,                 0.8497,               0.001088,               0.001088,               0.001088
                      3,                0.57349,                0.40681,                0.87565,                0.85051,                0.77117,                0.84321,                 0.5773,                0.70486,                0.45603,                0.91343,              0.0015996,              0.0015996,              0.0015996
                      4,                0.58267,                0.42646,                0.88032,                0.90414,                0.84529,                0.91107,                0.65829,                0.57342,                0.39064,                0.85475,               0.001568,               0.001568,               0.001568
                      5,                0.58616,                0.42337,                0.88164,                0.90596,                0.83112,                0.91383,                0.64732,                0.57892,                0.39756,                0.85827,               0.001568,               0.001568,               0.001568
                      6,                0.57882,                0.42417,                0.87445,                0.81722,                0.63546,                0.73298,                0.47072,                  0.858,                0.66478,                0.95213,               0.001535,               0.001535,               0.001535
                      7,                 0.5835,                0.42274,                0.87338,                0.90093,                0.82202,                0.90942,                0.64507,                0.55767,                0.37821,                0.85109,               0.001502,               0.001502,               0.001502
                      8,                0.58362,                 0.4166,                0.87781,                0.79571,                0.62819,                 0.6959,                0.42824,                 1.0286,                0.72066,                 1.0404,               0.001469,               0.001469,               0.001469
                      9,                0.57824,                0.40775,                0.87581,                0.90528,                 0.8314,                0.90743,                0.64308,                0.56543,                0.39174,                0.85535,               0.001436,               0.001436,               0.001436
                     10,                0.57701,                0.40958,                0.87439,                0.90143,                0.83131,                0.90222,                0.64718,                0.57867,                0.38638,                0.86212,              0.0014029,              0.0014029,              0.0014029
