                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56636,                0.42386,                 0.8805,                0.87776,                0.78377,                0.86435,                0.63153,                 0.5423,                0.41109,                0.85749,             0.00055427,             0.00055427,             0.00055427
                      2,                0.59224,                0.45506,                 0.8925,                0.86869,                0.75295,                0.86337,                0.61421,                0.56154,                0.41872,                0.85864,               0.001088,               0.001088,               0.001088
                      3,                 0.6145,                0.47529,                0.89888,                0.81449,                0.65066,                0.73355,                0.49855,                0.74418,                0.55342,                0.93195,              0.0015996,              0.0015996,              0.0015996
                      4,                0.62503,                0.48012,                0.90608,                0.86222,                0.73604,                0.83124,                0.56683,                0.64654,                0.46842,                0.88913,               0.001568,               0.001568,               0.001568
                      5,                0.62365,                0.47467,                0.89962,                0.81318,                0.73713,                0.81855,                0.55187,                0.67364,                0.45769,                0.90391,               0.001568,               0.001568,               0.001568
                      6,                  0.627,                0.47789,                0.90436,                0.80313,                0.69981,                0.78522,                0.54481,                0.64899,                0.47172,                0.89191,               0.001535,               0.001535,               0.001535
                      7,                0.61552,                0.47016,                0.89795,                0.82084,                0.71749,                0.80267,                0.55742,                0.62588,                0.45606,                 0.8882,               0.001502,               0.001502,               0.001502
                      8,                0.61288,                 0.4655,                0.89399,                 0.8421,                0.74893,                   0.83,                0.58303,                0.58018,                0.43702,                0.86607,               0.001469,               0.001469,               0.001469
                      9,                 0.6124,                0.46186,                0.89815,                0.82739,                0.73404,                0.81846,                0.56793,                0.61356,                0.46826,                0.88342,               0.001436,               0.001436,               0.001436
                     10,                0.60398,                0.45815,                0.89266,                0.84356,                0.75017,                0.83308,                0.57771,                0.57277,                0.44068,                0.86308,              0.0014029,              0.0014029,              0.0014029
                     11,                0.60495,                0.45654,                0.88651,                0.79387,                0.77499,                0.82527,                0.58215,                0.58822,                0.43943,                0.87348,              0.0013699,              0.0013699,              0.0013699
                     12,                 0.6013,                0.45066,                0.88649,                0.81369,                0.67664,                0.76482,                 0.5144,                0.73417,                0.50809,                0.92323,              0.0013369,              0.0013369,              0.0013369
                     13,                0.59701,                 0.4508,                0.88952,                0.84621,                0.76444,                0.85057,                0.59991,                0.58248,                0.42041,                0.86682,              0.0013039,              0.0013039,              0.0013039
                     14,                0.59991,                 0.4458,                0.88934,                0.83175,                 0.7709,                0.84412,                0.59465,                 0.5711,                 0.4243,                0.86837,              0.0012709,              0.0012709,              0.0012709
                     15,                0.59133,                0.43435,                 0.8811,                0.85154,                0.73172,                0.83158,                0.58014,                 0.5957,                 0.4327,                0.87371,              0.0012379,              0.0012379,              0.0012379
                     16,                0.58082,                0.43196,                0.88014,                0.83569,                0.76144,                0.83148,                0.59078,                0.60184,                0.42984,                0.87663,              0.0012049,              0.0012049,              0.0012049
                     17,                0.58449,                0.43005,                0.87528,                0.83043,                0.77523,                0.84878,                 0.6077,                0.56205,                0.42057,                 0.8643,              0.0011719,              0.0011719,              0.0011719
                     18,                0.58049,                0.43529,                0.88062,                0.83878,                0.77202,                0.85324,                0.60715,                  0.578,                0.42058,                0.86603,              0.0011389,              0.0011389,              0.0011389
                     19,                0.58145,                0.42798,                0.88211,                 0.8386,                0.78913,                0.85448,                0.61705,                0.56651,                0.40972,                0.86184,              0.0011059,              0.0011059,              0.0011059
                     20,                0.57265,                0.41628,                0.87594,                0.84854,                0.78054,                0.85784,                0.61146,                0.56638,                0.40756,                0.86229,              0.0010729,              0.0010729,              0.0010729
                     21,                0.57521,                0.41654,                0.87787,                0.85913,                0.77787,                 0.8636,                0.61591,                0.55856,                0.40785,                0.86261,              0.0010399,              0.0010399,              0.0010399
                     22,                0.57009,                 0.4133,                0.87318,                0.85381,                0.76877,                0.85891,                0.62287,                0.56456,                0.41436,                0.86428,              0.0010069,              0.0010069,              0.0010069
                     23,                0.56629,                0.40971,                0.87493,                0.84545,                0.76929,                0.83755,                0.58355,                0.61011,                 0.4337,                0.87377,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.5662,                0.41088,                0.87442,                0.82404,                0.76011,                0.82902,                0.58617,                0.64638,                0.43706,                0.88565,             0.00094085,             0.00094085,             0.00094085
                     25,                0.55742,                0.40179,                0.87016,                 0.8649,                0.79021,                0.87208,                0.63151,                0.55555,                 0.3992,                0.86272,             0.00090785,             0.00090785,             0.00090785
                     26,                0.55861,                0.39752,                0.86824,                0.83261,                0.81228,                0.86744,                0.63221,                 0.5538,                0.40451,                0.85953,             0.00087484,             0.00087484,             0.00087484
                     27,                0.55549,                0.39745,                 0.8676,                0.85935,                 0.7923,                0.86984,                0.63237,                 0.5539,                0.40742,                0.86121,             0.00084184,             0.00084184,             0.00084184
                     28,                0.55099,                0.39077,                0.86936,                0.84849,                0.79826,                0.86327,                   0.61,                 0.5951,                0.41847,                0.87386,             0.00080883,             0.00080883,             0.00080883
                     29,                0.54416,                0.38795,                0.86419,                0.82409,                0.79363,                0.85784,                0.61485,                0.61411,                0.40958,                0.87755,             0.00077582,             0.00077582,             0.00077582
                     30,                0.54235,                0.38321,                0.86576,                0.84015,                0.78345,                0.85125,                0.60382,                 0.6161,                0.41255,                0.87864,             0.00074282,             0.00074282,             0.00074282
                     31,                0.53906,                0.38304,                0.86487,                0.85489,                0.80133,                0.87284,                0.64738,                0.55001,                0.40103,                0.86435,             0.00070981,             0.00070981,             0.00070981
                     32,                0.53487,                 0.3767,                0.85675,                0.86803,                0.76451,                0.86009,                0.61981,                   0.62,                0.41755,                0.87997,              0.0006768,              0.0006768,              0.0006768
                     33,                0.53726,                0.37451,                0.86196,                0.85382,                0.80359,                0.88061,                0.64917,                 0.5514,                0.39187,                0.86259,              0.0006438,              0.0006438,              0.0006438
                     34,                0.53249,                0.37418,                0.86285,                0.89053,                0.78737,                0.87334,                0.63455,                0.56252,                0.39835,                0.86454,             0.00061079,             0.00061079,             0.00061079
                     35,                0.52423,                0.36377,                0.85916,                0.86919,                0.80965,                0.88143,                0.65132,                0.56423,                0.39275,                0.87078,             0.00057778,             0.00057778,             0.00057778
                     36,                0.52402,                0.36168,                0.85719,                0.87746,                0.80618,                  0.877,                0.63713,                0.55901,                0.40452,                0.86315,             0.00054478,             0.00054478,             0.00054478
                     37,                0.52302,                0.35408,                0.85558,                0.87339,                0.79742,                0.88325,                0.65292,                0.54808,                0.39996,                0.86515,             0.00051177,             0.00051177,             0.00051177
                     38,                0.51784,                0.35578,                0.85201,                 0.8715,                0.80247,                0.88324,                0.65085,                0.55487,                0.38737,                0.86185,             0.00047876,             0.00047876,             0.00047876
