                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.40664,                0.21329,                0.82024,                0.87667,                0.85383,                0.89632,                0.67651,                0.36501,                0.19241,                0.79407,              0.0033282,              0.0033282,              0.0033282
                      2,                0.43088,                0.23531,                0.82345,                0.05405,                0.00375,                0.02779,                0.01077,                  3.189,                 7.2994,                 2.2779,              0.0065955,              0.0065955,              0.0065955
                      3,                0.45956,                0.25929,                0.83595,                0.01338,                0.03518,                0.01005,                0.00585,                 2.1013,                 6.4311,                 1.7193,              0.0097969,              0.0097969,              0.0097969
                      4,                0.51067,                 0.2959,                0.85217,                 0.0055,                 0.0136,                0.00314,                0.00151,                 2.5143,                 6.5714,                 1.9818,               0.009703,               0.009703,               0.009703
                      5,                0.50777,                0.29871,                0.84921,                 0.0055,                 0.0136,                0.00314,                0.00151,                 2.6879,                 7.6424,                  2.075,               0.009703,               0.009703,               0.009703
                      6,                 0.5155,                0.30369,                0.85446,                 0.0055,                 0.0136,                0.00314,                0.00151,                 2.7891,                 7.8816,                 2.1658,               0.009604,               0.009604,               0.009604
                      7,                0.51156,                 0.2976,                0.85358,                0.67903,                0.60412,                0.63659,                 0.4583,                0.74865,                 0.4374,                0.93038,               0.009505,               0.009505,               0.009505
                      8,                0.51474,                0.30082,                0.85325,                0.00804,                0.01126,                0.00841,                0.00448,                  2.904,                 7.5728,                 2.0283,               0.009406,               0.009406,               0.009406
                      9,                0.51103,                0.29784,                0.84924,                 0.7255,                 0.6408,                0.66827,                0.48729,                0.63104,                0.34186,                0.89171,               0.009307,               0.009307,               0.009307
                     10,                0.51455,                0.29601,                0.85402,                0.76287,                 0.7141,                0.72379,                0.53389,                0.52262,                0.30523,                0.84656,               0.009208,               0.009208,               0.009208
                     11,                0.51118,                0.29365,                 0.8556,                0.81182,                0.74383,                0.77459,                0.55586,                0.48131,                0.26383,                0.83122,               0.009109,               0.009109,               0.009109
                     12,                0.50522,                0.29597,                0.85076,                0.66868,                0.58663,                0.59567,                0.45806,                0.65369,                0.33708,                0.89682,                0.00901,                0.00901,                0.00901
                     13,                0.50913,                0.29758,                0.84566,                0.76074,                0.74809,                 0.7656,                0.54383,                0.47957,                0.25446,                0.83025,               0.008911,               0.008911,               0.008911
                     14,                0.50417,                0.29375,                0.84527,                0.02117,                0.21295,                 0.0251,                0.00624,                 3.5967,                 3.7588,                 2.6032,               0.008812,               0.008812,               0.008812
                     15,                 0.4967,                0.28882,                0.85085,                0.00899,                0.00469,                0.00465,                0.00122,                 3.7327,                 6.9619,                  2.746,               0.008713,               0.008713,               0.008713
                     16,                0.49595,                0.28873,                0.84719,                0.68373,                0.68723,                0.67765,                0.50189,                0.57551,                0.29042,                0.86542,               0.008614,               0.008614,               0.008614
                     17,                 0.4984,                0.29032,                 0.8508,                0.05624,                0.11538,                0.03951,                0.01747,                 2.5024,                 4.4846,                 1.9033,               0.008515,               0.008515,               0.008515
                     18,                0.49578,                0.28914,                0.84623,                0.02807,                 0.0075,                0.01445,                0.00503,                 2.5434,                 5.5119,                 1.9234,               0.008416,               0.008416,               0.008416
                     19,                0.49153,                0.28519,                0.84259,                 0.9807,                0.39712,                0.48495,                0.34931,                 1.0914,                0.95525,                 1.0812,               0.008317,               0.008317,               0.008317
                     20,                0.49689,                0.28971,                0.84487,                0.66989,                0.48224,                 0.5467,                0.37771,                 1.1074,                0.68698,                  1.081,               0.008218,               0.008218,               0.008218
                     21,                0.49652,                 0.2879,                0.84639,                0.46742,                 0.0745,                 0.2718,                0.18597,                 1.7352,                 5.8926,                  1.448,               0.008119,               0.008119,               0.008119
                     22,                0.48762,                 0.2808,                0.84387,                0.00893,                0.00047,                0.00448,                 0.0009,                 2.9101,                  7.452,                  2.197,                0.00802,                0.00802,                0.00802
