                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52025,                0.35096,                0.86071,                0.91278,                0.90077,                0.95802,                0.73447,                0.48261,                0.31929,                0.83134,             0.00055427,             0.00055427,             0.00055427
                      2,                0.55077,                 0.3844,                0.86728,                0.92625,                 0.8755,                0.94559,                0.70888,                0.50728,                0.35661,                0.83809,               0.001088,               0.001088,               0.001088
                      3,                0.57679,                0.41289,                0.87825,                0.88379,                0.81574,                0.89557,                0.63312,                0.62174,                0.42133,                0.87086,              0.0015996,              0.0015996,              0.0015996
                      4,                0.58302,                0.41711,                0.88378,                0.89265,                 0.8453,                 0.9138,                0.66017,                0.55064,                0.40459,                0.85809,               0.001568,               0.001568,               0.001568
                      5,                0.59213,                0.42797,                  0.882,                0.88791,                0.81534,                0.89121,                0.62757,                0.60399,                0.40586,                0.86949,               0.001568,               0.001568,               0.001568
                      6,                0.59035,                0.42289,                0.88003,                0.88781,                 0.8292,                0.90411,                0.64082,                0.57261,                0.40414,                0.85699,               0.001535,               0.001535,               0.001535
                      7,                0.58109,                0.41775,                0.87826,                0.86366,                0.75912,                0.83937,                0.55659,                0.74598,                0.47039,                0.91537,               0.001502,               0.001502,               0.001502
                      8,                0.58002,                0.41501,                0.87408,                0.87565,                0.78931,                0.88216,                0.63322,                0.57969,                 0.4203,                 0.8663,               0.001469,               0.001469,               0.001469
                      9,                0.58238,                0.41504,                0.87527,                0.85685,                0.81884,                0.88505,                0.61473,                 0.6393,                0.42233,                0.87839,               0.001436,               0.001436,               0.001436
                     10,                  0.574,                0.40297,                0.87273,                 0.8835,                0.82044,                0.90197,                0.65271,                0.56334,                0.39797,                0.86124,              0.0014029,              0.0014029,              0.0014029
                     11,                0.57698,                0.40147,                 0.8752,                0.89784,                0.82862,                0.91116,                0.65867,                0.56437,                0.39969,                0.85853,              0.0013699,              0.0013699,              0.0013699
