                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.60521,                0.38147,                0.90551,                0.80862,                0.67903,                 0.7268,                  0.532,                 0.4989,                0.27145,                 0.8405,               0.006535,               0.006535,               0.006535
                     38,                0.60363,                0.37924,                0.90539,                0.83435,                0.70004,                0.76098,                0.54398,                0.49942,                0.26692,                0.84295,               0.006436,               0.006436,               0.006436
                     39,                    0.6,                0.36849,                0.90521,                0.79595,                0.69689,                0.73433,                0.53086,                0.50124,                0.26459,                0.84365,               0.006337,               0.006337,               0.006337
                     40,                0.59739,                 0.3686,                 0.9011,                0.78956,                0.68372,                0.72214,                0.52818,                0.51633,                 0.2753,                0.84494,               0.006238,               0.006238,               0.006238
                     41,                0.59678,                 0.3685,                0.90098,                0.80038,                0.70083,                 0.7416,                0.53628,                0.49503,                0.26143,                0.84067,               0.006139,               0.006139,               0.006139
                     42,                0.59516,                0.36819,                0.90555,                0.74128,                0.69879,                0.73117,                 0.5267,                0.53131,                0.27282,                0.85057,                0.00604,                0.00604,                0.00604
                     43,                0.59657,                0.37239,                0.90781,                0.75435,                0.70004,                0.72823,                0.53542,                0.50257,                0.26134,                0.84348,               0.005941,               0.005941,               0.005941
                     44,                0.59348,                0.36707,                0.90218,                 0.7842,                0.70888,                 0.7493,                0.54115,                0.49253,                 0.2578,                0.84146,               0.005842,               0.005842,               0.005842
                     45,                0.59052,                0.36518,                0.90256,                0.78929,                0.70311,                0.73136,                0.53791,                0.50607,                0.25775,                0.84449,               0.005743,               0.005743,               0.005743
                     46,                0.58429,                0.35738,                0.90406,                0.82758,                0.70834,                0.76075,                0.55009,                0.49289,                0.25074,                0.83876,               0.005644,               0.005644,               0.005644
                     47,                 0.6023,                0.36754,                0.90272,                0.75273,                0.70389,                0.71928,                0.53493,                0.49755,                0.24968,                0.84173,               0.005545,               0.005545,               0.005545
                     48,                0.57976,                0.35568,                0.89746,                0.83774,                0.69329,                0.75518,                0.54605,                0.49091,                0.25197,                0.83999,               0.005446,               0.005446,               0.005446
                     49,                0.58206,                0.35776,                0.89883,                0.78728,                0.70068,                0.74751,                0.54161,                 0.4911,                0.24916,                0.83923,               0.005347,               0.005347,               0.005347
                     50,                0.59332,                 0.3626,                0.90241,                0.80562,                0.70527,                0.74111,                0.53958,                0.48493,                  0.248,                0.83807,               0.005248,               0.005248,               0.005248
                     51,                0.57283,                0.35304,                0.89686,                0.80558,                0.70446,                 0.7429,                0.54528,                0.49135,                0.24886,                0.83963,               0.005149,               0.005149,               0.005149
                     52,                0.58202,                0.35088,                0.89875,                0.79448,                0.69345,                0.73335,                0.54365,                0.48995,                0.24781,                0.83798,                0.00505,                0.00505,                0.00505
                     53,                 0.5684,                0.34435,                0.89549,                 0.7949,                0.71493,                0.74201,                0.54335,                0.48756,                0.24615,                 0.8382,               0.004951,               0.004951,               0.004951
                     54,                 0.5721,                0.34429,                0.89551,                0.84041,                0.68949,                0.74908,                0.54848,                 0.4794,                0.24486,                0.83425,               0.004852,               0.004852,               0.004852
                     55,                 0.5664,                0.34547,                0.89433,                0.78752,                 0.7156,                0.75744,                0.54925,                0.47743,                0.24551,                0.83414,               0.004753,               0.004753,               0.004753
                     56,                0.57526,                0.34548,                0.90002,                0.82372,                0.69697,                0.74888,                0.54722,                0.48228,                0.24447,                0.83496,               0.004654,               0.004654,               0.004654
                     57,                0.55525,                0.33649,                0.89202,                0.83777,                0.70293,                0.76107,                 0.5483,                0.48104,                0.24213,                0.83504,               0.004555,               0.004555,               0.004555
                     58,                0.56002,                0.33979,                0.89258,                0.78988,                0.70924,                0.74596,                0.54299,                0.48627,                0.23961,                0.83583,               0.004456,               0.004456,               0.004456
                     59,                0.56448,                0.33578,                0.89309,                 0.8217,                0.71141,                0.74973,                0.54665,                0.48192,                0.23603,                0.83533,               0.004357,               0.004357,               0.004357
                     60,                0.56058,                0.33841,                0.89465,                0.80418,                0.70457,                0.75014,                0.54692,                0.47927,                0.23432,                0.83482,               0.004258,               0.004258,               0.004258
                     61,                0.56175,                0.33243,                0.89803,                0.81413,                0.69947,                0.73798,                0.54708,                 0.4795,                0.23467,                0.83457,               0.004159,               0.004159,               0.004159
                     62,                0.55781,                0.33961,                0.89192,                0.82542,                0.70004,                0.74643,                 0.5487,                0.47801,                0.23471,                0.83371,                0.00406,                0.00406,                0.00406
                     63,                0.55484,                 0.3323,                0.88926,                0.82938,                0.71709,                0.74722,                0.54806,                 0.4756,                0.23497,                 0.8332,               0.003961,               0.003961,               0.003961
                     64,                0.54329,                0.32897,                0.88548,                0.83821,                0.70879,                0.74934,                0.54981,                0.47491,                0.23458,                0.83344,               0.003862,               0.003862,               0.003862
                     65,                0.54435,                 0.3269,                0.88952,                  0.835,                0.71737,                0.75085,                0.55205,                0.47694,                 0.2348,                0.83384,               0.003763,               0.003763,               0.003763
                     66,                0.53989,                0.32651,                0.88368,                0.84705,                0.72846,                0.76621,                0.55235,                0.47485,                0.23447,                0.83289,               0.003664,               0.003664,               0.003664
                     67,                0.53781,                0.31986,                 0.8869,                0.82465,                0.71736,                0.75221,                0.54889,                 0.4743,                0.23454,                0.83279,               0.003565,               0.003565,               0.003565
                     68,                0.54993,                0.32472,                0.88806,                0.83434,                0.71556,                0.75466,                 0.5516,                0.47588,                0.23462,                0.83342,               0.003466,               0.003466,               0.003466
                     69,                0.54164,                0.32092,                0.88654,                0.83278,                0.69869,                 0.7519,                0.54996,                0.47416,                0.23356,                 0.8332,               0.003367,               0.003367,               0.003367
                     70,                0.54195,                0.31933,                0.88838,                0.83124,                0.71117,                0.75612,                0.54998,                0.47633,                0.23337,                0.83362,               0.003268,               0.003268,               0.003268
                     71,                 0.5405,                0.31788,                0.88613,                0.85277,                0.71926,                0.76834,                0.55302,                0.47293,                0.23081,                0.83209,               0.003169,               0.003169,               0.003169
                     72,                0.53465,                0.31067,                0.88393,                0.85495,                0.71346,                0.76879,                0.55445,                 0.4714,                 0.2305,                0.83139,                0.00307,                0.00307,                0.00307
                     73,                0.53193,                0.31195,                0.88535,                0.84598,                0.72278,                 0.7657,                0.55528,                0.47201,                0.22947,                0.83212,               0.002971,               0.002971,               0.002971
                     74,                0.53266,                0.31421,                 0.8879,                0.84739,                0.72278,                0.76891,                0.55601,                0.47225,                0.23069,                0.83228,               0.002872,               0.002872,               0.002872
                     75,                0.52877,                 0.3067,                 0.8779,                0.82941,                0.72587,                0.76936,                0.55592,                0.47207,                0.23037,                0.83198,               0.002773,               0.002773,               0.002773
                     76,                0.52832,                 0.3092,                0.88307,                0.84879,                0.71664,                0.76656,                0.55737,                0.47097,                0.22796,                0.83171,               0.002674,               0.002674,               0.002674
                     77,                0.52129,                0.30287,                0.88228,                0.83806,                0.72064,                0.77364,                 0.5586,                0.47093,                0.22885,                0.83162,               0.002575,               0.002575,               0.002575
                     78,                0.52131,                 0.3017,                0.87945,                0.83861,                0.72224,                0.77376,                0.55989,                0.47121,                0.22866,                0.83177,               0.002476,               0.002476,               0.002476
                     79,                0.52218,                0.30468,                0.87915,                0.84228,                0.72675,                0.77931,                0.55964,                0.47026,                0.22715,                0.83168,               0.002377,               0.002377,               0.002377
                     80,                0.52155,                0.30011,                0.88155,                0.83453,                0.72771,                0.77502,                0.55912,                0.46998,                0.22688,                0.83164,               0.002278,               0.002278,               0.002278
                     81,                0.52589,                0.30065,                0.88071,                0.83427,                 0.7263,                0.77506,                0.55639,                0.46932,                0.22659,                0.83138,               0.002179,               0.002179,               0.002179
                     82,                0.51174,                 0.2948,                 0.8791,                0.83291,                0.72996,                0.77743,                0.55679,                 0.4688,                0.22714,                0.83139,                0.00208,                0.00208,                0.00208
                     83,                 0.5241,                 0.3038,                0.88357,                0.84342,                0.72413,                0.77657,                0.55803,                0.46837,                0.22632,                 0.8313,               0.001981,               0.001981,               0.001981
                     84,                0.51394,                0.29314,                0.87582,                0.82724,                0.72765,                0.77692,                0.56061,                0.46862,                0.22653,                0.83137,               0.001882,               0.001882,               0.001882
                     85,                0.50956,                0.28997,                0.87879,                0.83276,                0.72785,                 0.7815,                0.55972,                0.46822,                0.22588,                 0.8311,               0.001783,               0.001783,               0.001783
                     86,                0.50334,                0.28846,                0.87276,                0.81713,                0.71889,                0.77331,                0.56002,                0.46808,                0.22566,                0.83097,               0.001684,               0.001684,               0.001684
                     87,                0.51119,                0.29049,                0.87433,                 0.8101,                0.72196,                0.77446,                0.56057,                0.46732,                  0.225,                0.83053,               0.001585,               0.001585,               0.001585
                     88,                0.49454,                0.28219,                0.87098,                0.81169,                0.72196,                0.77369,                0.56184,                0.46729,                0.22503,                0.83047,               0.001486,               0.001486,               0.001486
                     89,                0.49887,                0.28565,                0.87508,                0.81468,                0.73146,                0.77594,                0.56061,                0.46729,                0.22428,                0.83033,               0.001387,               0.001387,               0.001387
                     90,                0.49904,                0.28524,                0.87071,                0.81594,                 0.7243,                0.77438,                0.56015,                0.46667,                 0.2245,                0.83005,               0.001288,               0.001288,               0.001288
                     91,                0.45039,                0.24844,                 0.8371,                0.82245,                0.72133,                 0.7742,                0.56006,                0.46687,                0.22445,                0.83003,               0.001189,               0.001189,               0.001189
                     92,                0.44345,                0.24022,                0.83504,                0.81835,                0.72142,                0.77252,                0.55983,                0.46586,                0.22425,                0.82964,                0.00109,                0.00109,                0.00109
                     93,                0.44851,                0.23862,                 0.8368,                0.82495,                0.71799,                0.77083,                0.56136,                 0.4656,                0.22378,                0.82955,               0.000991,               0.000991,               0.000991
                     94,                0.43583,                0.23405,                0.83058,                0.82357,                  0.718,                0.77287,                0.56101,                0.46548,                0.22368,                0.82937,               0.000892,               0.000892,               0.000892
                     95,                0.43757,                0.23581,                0.83679,                0.81666,                0.71832,                0.77161,                0.55997,                0.46513,                 0.2227,                0.82923,               0.000793,               0.000793,               0.000793
                     96,                0.42338,                0.22885,                0.82352,                0.80895,                0.71858,                 0.7725,                 0.5602,                0.46453,                0.22278,                0.82892,               0.000694,               0.000694,               0.000694
                     97,                0.43102,                0.22972,                0.82638,                0.80981,                0.71964,                0.77321,                0.56058,                0.46394,                 0.2221,                0.82868,               0.000595,               0.000595,               0.000595
                     98,                 0.4329,                 0.2295,                0.82857,                 0.8159,                0.71979,                0.77448,                0.56087,                0.46387,                0.22195,                0.82866,               0.000496,               0.000496,               0.000496
                     99,                0.42442,                0.22675,                0.82738,                0.81465,                0.71844,                0.77093,                0.56015,                0.46305,                 0.2216,                 0.8284,               0.000397,               0.000397,               0.000397
                    100,                0.41781,                0.22178,                 0.8262,                0.81343,                0.71892,                 0.7718,                0.56224,                 0.4627,                0.22112,                0.82822,               0.000298,               0.000298,               0.000298
