                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4383,                0.23604,                0.83157,                0.25536,                0.13059,                0.20081,                 0.1501,                 1.3928,                 4.7754,                 1.2297,              0.0033282,              0.0033282,              0.0033282
                      2,                0.45979,                0.25477,                0.83438,                0.25536,                0.13059,                0.20081,                 0.1501,                 2.7797,                 8.0308,                 1.9623,              0.0065955,              0.0065955,              0.0065955
                      3,                0.49415,                0.28103,                0.84849,                0.02672,                0.30548,                0.08362,                0.03374,                 2.6666,                 3.5751,                 1.9518,              0.0097969,              0.0097969,              0.0097969
                      4,                0.52543,                0.31065,                0.86413,                0.60659,                0.61298,                0.61777,                0.47455,                0.59397,                0.32512,                0.86941,               0.009703,               0.009703,               0.009703
                      5,                0.53164,                0.31519,                0.86426,                0.02864,                0.19041,                0.03613,                0.01256,                 2.7064,                 4.3991,                 2.0184,               0.009703,               0.009703,               0.009703
                      6,                0.53972,                0.31609,                0.86208,                0.00901,                0.00091,                0.00697,                0.00607,                 2.8458,                 7.9969,                 2.1199,               0.009604,               0.009604,               0.009604
                      7,                0.52875,                0.31636,                0.86029,                0.63005,                0.58956,                0.60364,                0.44643,                0.72994,                0.45977,                0.92214,               0.009505,               0.009505,               0.009505
                      8,                0.52606,                0.31759,                 0.8627,                0.94144,                0.19275,                0.31103,                0.21567,                  1.378,                 2.7543,                 1.2842,               0.009406,               0.009406,               0.009406
                      9,                0.52586,                 0.3114,                0.85595,                 0.0233,                0.08676,                 0.0137,                0.00539,                 2.6445,                 3.5396,                 1.9126,               0.009307,               0.009307,               0.009307
                     10,                0.52835,                0.31161,                0.86131,                0.74889,                0.69456,                0.71717,                0.51965,                0.52748,                0.28446,                0.84596,               0.009208,               0.009208,               0.009208
                     11,                0.52895,                0.31349,                0.86405,                0.96099,                0.41689,                0.46865,                0.29882,                 1.3238,                0.80415,                 1.1931,               0.009109,               0.009109,               0.009109
                     12,                0.52331,                0.30519,                 0.8551,                0.94741,                 0.4032,                0.51124,                0.35377,                 1.1808,                0.81595,                 1.1273,                0.00901,                0.00901,                0.00901
                     13,                0.52147,                0.30888,                0.85739,                0.83197,                0.69722,                0.73565,                0.53167,                0.53826,                 0.2921,                0.85879,               0.008911,               0.008911,               0.008911
                     14,                0.52425,                0.30478,                0.85753,                0.00885,                0.00091,                0.00689,                0.00466,                 2.9139,                 7.5827,                 2.1094,               0.008812,               0.008812,               0.008812
                     15,                0.52746,                0.30438,                0.85869,                0.03409,                0.00548,                0.01967,                0.00584,                 2.7418,                 7.1602,                 2.0534,               0.008713,               0.008713,               0.008713
                     16,                0.51174,                0.30121,                 0.8524,                0.04386,                0.00228,                0.02223,                0.00857,                 2.8968,                 7.6897,                 2.0322,               0.008614,               0.008614,               0.008614
                     17,                0.52129,                 0.3015,                0.86136,                0.00777,                0.00137,                0.00406,                0.00095,                 4.2661,                 7.2652,                  3.118,               0.008515,               0.008515,               0.008515
                     18,                0.51278,                 0.2972,                0.85229,                0.77608,                0.70338,                0.73562,                0.53997,                0.46374,                0.25652,                   0.83,               0.008416,               0.008416,               0.008416
                     19,                0.51227,                  0.296,                0.84978,                0.73826,                0.66285,                0.67411,                0.50047,                0.62396,                0.31156,                0.88244,               0.008317,               0.008317,               0.008317
                     20,                0.50834,                0.30248,                0.84957,                0.76767,                0.49547,                0.56678,                0.39634,                0.97558,                0.76589,                 1.0214,               0.008218,               0.008218,               0.008218
                     21,                0.51432,                0.30004,                0.85297,                0.17913,                  0.261,                0.16807,                0.08426,                 1.7155,                 3.9065,                 1.4123,               0.008119,               0.008119,               0.008119
                     22,                0.50633,                0.29593,                0.85308,                0.74484,                0.74638,                0.74775,                0.55209,                0.47318,                0.25824,                0.83268,                0.00802,                0.00802,                0.00802
                     23,                0.51013,                0.29513,                0.85525,                0.76472,                0.72139,                0.73652,                0.54641,                0.49802,                0.25636,                0.83964,               0.007921,               0.007921,               0.007921
                     24,                 0.5022,                0.29223,                0.84746,                0.83588,                0.68203,                0.75231,                0.55575,                0.52397,                0.27951,                0.84562,               0.007822,               0.007822,               0.007822
                     25,                0.50042,                0.28808,                 0.8515,                0.77563,                 0.7283,                0.73208,                0.55035,                 0.4768,                0.25979,                0.83377,               0.007723,               0.007723,               0.007723
                     26,                 0.4948,                0.28813,                0.84591,                0.98089,                0.35616,                 0.4643,                0.34943,                 1.0212,                 1.3824,                 1.0458,               0.007624,               0.007624,               0.007624
                     27,                0.50059,                0.29193,                0.85183,                0.78672,                0.65273,                0.69645,                0.51232,                0.56778,                0.29619,                0.86045,               0.007525,               0.007525,               0.007525
                     28,                0.50175,                0.29123,                0.84908,                0.00606,                0.00091,                0.00551,                 0.0039,                 3.4555,                 7.9817,                 2.3998,               0.007426,               0.007426,               0.007426
                     29,                 0.4939,                0.28307,                0.84658,                0.78899,                0.73013,                0.75791,                0.56546,                0.47454,                0.25122,                0.83346,               0.007327,               0.007327,               0.007327
                     30,                0.48578,                0.28474,                0.84695,                0.80406,                 0.6975,                0.73706,                0.52242,                0.58209,                0.28353,                0.87004,               0.007228,               0.007228,               0.007228
                     31,                0.48961,                0.28633,                0.84595,                0.89193,                0.13579,                0.26764,                0.15359,                 1.6793,                 2.8076,                 1.4098,               0.007129,               0.007129,               0.007129
                     32,                0.48397,                0.27742,                0.84259,                0.74771,                0.72489,                 0.7258,                0.54283,                0.48755,                 0.2453,                0.83372,                0.00703,                0.00703,                0.00703
                     33,                0.48978,                0.28095,                0.84575,                 0.7911,                0.73307,                0.75551,                0.56086,                0.47065,                0.25046,                 0.8305,               0.006931,               0.006931,               0.006931
                     34,                0.48466,                0.27928,                0.84635,                0.81003,                0.70351,                0.72714,                0.53209,                0.55436,                0.29423,                0.86311,               0.006832,               0.006832,               0.006832
                     35,                0.48792,                0.28164,                 0.8435,                0.80118,                0.71618,                0.76272,                0.55481,                0.48139,                0.24944,                  0.834,               0.006733,               0.006733,               0.006733
                     36,                0.48601,                0.28587,                0.84657,                0.76376,                 0.7007,                0.71988,                0.53439,                0.51467,                0.27884,                0.84753,               0.006634,               0.006634,               0.006634
                     37,                0.48214,                  0.276,                0.84273,                 0.7898,                0.72217,                0.75634,                0.56729,                0.43928,                0.23358,                0.82343,               0.006535,               0.006535,               0.006535
                     38,                0.47629,                0.27009,                0.84029,                0.81592,                0.73863,                0.77923,                0.56136,                0.45712,                 0.2335,                 0.8277,               0.006436,               0.006436,               0.006436
                     39,                0.47796,                0.26856,                 0.8426,                 0.7929,                0.75683,                 0.7779,                0.56223,                0.48992,                0.23897,                0.83486,               0.006337,               0.006337,               0.006337
                     40,                0.47527,                0.27044,                0.83783,                0.78632,                0.73728,                0.76289,                0.55224,                0.47314,                0.24589,                0.83216,               0.006238,               0.006238,               0.006238
                     41,                0.47885,                0.27284,                0.83898,                0.81203,                0.74091,                0.77532,                0.57223,                0.45188,                0.22994,                0.82569,               0.006139,               0.006139,               0.006139
                     42,                0.47501,                0.27137,                0.84038,                0.83733,                0.72034,                0.76619,                0.56695,                0.46989,                0.23745,                 0.8302,                0.00604,                0.00604,                0.00604
                     43,                0.46956,                0.26616,                0.83734,                0.80154,                0.73179,                0.76042,                0.56857,                0.44987,                0.23094,                0.82577,               0.005941,               0.005941,               0.005941
                     44,                0.47301,                0.26592,                0.84088,                0.81461,                 0.7633,                0.77455,                 0.5743,                0.43676,                0.22251,                0.82198,               0.005842,               0.005842,               0.005842
                     45,                0.47928,                 0.2697,                0.84268,                0.80185,                0.75706,                0.79005,                0.58072,                0.44488,                0.22952,                0.82452,               0.005743,               0.005743,               0.005743
                     46,                0.46517,                0.26149,                0.83331,                0.83045,                0.71467,                0.77074,                0.55974,                0.48073,                0.23833,                0.83114,               0.005644,               0.005644,               0.005644
                     47,                0.46689,                0.26587,                0.83644,                0.81759,                0.75852,                0.77175,                0.56737,                0.45415,                0.22837,                 0.8273,               0.005545,               0.005545,               0.005545
                     48,                0.45885,                0.25917,                0.83378,                0.80582,                0.73909,                0.78427,                0.57297,                 0.4407,                0.22397,                 0.8234,               0.005446,               0.005446,               0.005446
                     49,                0.46177,                0.26164,                0.83663,                0.82211,                0.74625,                0.77384,                0.57743,                0.43646,                0.22171,                0.82334,               0.005347,               0.005347,               0.005347
                     50,                0.46139,                0.25675,                0.83387,                0.85866,                0.72598,                0.78688,                0.58292,                0.44013,                0.22007,                 0.8238,               0.005248,               0.005248,               0.005248
                     51,                0.45977,                0.25785,                0.83136,                0.83802,                0.74762,                0.77977,                 0.5835,                0.44248,                0.22056,                0.82396,               0.005149,               0.005149,               0.005149
                     52,                0.46144,                0.25973,                 0.8376,                0.78688,                0.73796,                0.77026,                 0.5761,                0.44137,                0.22176,                0.82437,                0.00505,                0.00505,                0.00505
                     53,                0.45426,                0.25603,                0.83319,                0.81521,                 0.7174,                  0.766,                 0.5739,                0.43305,                0.21723,                0.82083,               0.004951,               0.004951,               0.004951
                     54,                0.45553,                0.25423,                0.82965,                0.83749,                0.72955,                0.78425,                0.57332,                0.43746,                 0.2186,                0.82163,               0.004852,               0.004852,               0.004852
                     55,                0.45128,                0.25053,                0.82948,                0.86658,                0.73626,                0.78984,                0.56996,                0.44119,                0.21932,                0.82139,               0.004753,               0.004753,               0.004753
                     56,                0.45047,                0.25492,                0.83419,                0.84877,                0.72694,                0.77501,                0.56861,                0.43209,                0.21873,                 0.8204,               0.004654,               0.004654,               0.004654
                     57,                0.44333,                0.24801,                0.82891,                0.85479,                0.75239,                0.79456,                0.57165,                0.43158,                0.21929,                0.82111,               0.004555,               0.004555,               0.004555
                     58,                0.43995,                0.24474,                  0.824,                0.82482,                0.75755,                0.78867,                0.57515,                0.43137,                0.21839,                0.82071,               0.004456,               0.004456,               0.004456
                     59,                0.44762,                0.24801,                0.82576,                0.86666,                0.73308,                0.79386,                0.57777,                0.43206,                0.21705,                0.82066,               0.004357,               0.004357,               0.004357
                     60,                0.44307,                0.25456,                0.82498,                0.84754,                 0.7349,                0.78582,                 0.5777,                0.42735,                 0.2165,                0.81987,               0.004258,               0.004258,               0.004258
                     61,                0.44723,                0.24899,                0.83263,                 0.8301,                0.74762,                0.78703,                0.57878,                0.42795,                0.21538,                0.81973,               0.004159,               0.004159,               0.004159
                     62,                0.43903,                0.24398,                0.82617,                0.84596,                0.73796,                0.79997,                0.58083,                 0.4301,                0.21497,                0.82015,                0.00406,                0.00406,                0.00406
                     63,                0.43414,                0.23843,                0.82617,                0.80972,                0.75969,                0.79123,                0.58139,                0.43478,                0.21539,                0.82137,               0.003961,               0.003961,               0.003961
                     64,                 0.4383,                 0.2435,                0.82437,                   0.87,                0.74057,                0.79955,                0.58494,                0.43017,                0.21398,                0.81982,               0.003862,               0.003862,               0.003862
                     65,                0.43526,                0.23711,                0.81945,                0.88702,                0.73444,                 0.8051,                0.58532,                0.42906,                0.21221,                0.81931,               0.003763,               0.003763,               0.003763
                     66,                0.42674,                0.23738,                0.82081,                0.84105,                0.75265,                0.79645,                0.58545,                0.42852,                0.21292,                0.81945,               0.003664,               0.003664,               0.003664
                     67,                0.42904,                0.23869,                0.81934,                0.84742,                0.74762,                0.78683,                0.58549,                 0.4264,                0.21141,                0.81879,               0.003565,               0.003565,               0.003565
                     68,                0.42895,                0.23749,                0.82327,                0.85684,                0.73705,                0.79516,                0.58683,                 0.4225,                0.20878,                0.81749,               0.003466,               0.003466,               0.003466
                     69,                0.42807,                0.23347,                0.81905,                0.85114,                0.74319,                 0.7936,                0.59034,                0.42146,                0.20771,                0.81715,               0.003367,               0.003367,               0.003367
                     70,                0.42543,                0.23089,                0.81827,                0.88502,                0.74625,                0.79942,                 0.5885,                0.42373,                0.20944,                0.81776,               0.003268,               0.003268,               0.003268
                     71,                0.42328,                0.23179,                0.82122,                0.87932,                0.74978,                0.79791,                 0.5897,                0.42521,                0.21044,                0.81758,               0.003169,               0.003169,               0.003169
                     72,                0.42074,                0.23155,                0.81944,                0.86881,                0.74978,                0.79124,                0.58482,                0.42466,                0.21114,                 0.8176,                0.00307,                0.00307,                0.00307
                     73,                0.41561,                0.22704,                0.81516,                0.86563,                 0.7305,                0.78937,                0.58746,                0.42465,                0.21145,                0.81772,               0.002971,               0.002971,               0.002971
                     74,                 0.4105,                0.22232,                0.81642,                0.85023,                0.75045,                0.80283,                 0.5914,                0.42394,                0.21165,                0.81721,               0.002872,               0.002872,               0.002872
